,question,answer,contexts,ground_truth,answer_relevancy,context_precision,faithfulness,context_recall
0,What is an autoshuttle ?,"An autoshuttle is a type of shuttle carrier that is driven and controlled without human intervention. It operates automatically, following a pre-programmed route or sequence of movements. These shuttles are commonly used in manufacturing facilities, transportation hubs, and other settings where efficient, uninterrupted movement of materials or people is required.","['(QC ( 96)) and rail cranes ( RGC  ( 103)).\nautoshuttle\nA shuttle carrier that is driven and controlled without human intervention.Glossary\nPublished: Sunday, April 28, 2024\nConfidential -- ProprietaryNavis N4 4.0.15: Glossary 9']",A shuttle carrier that is driven and controlled without human intervention,0.836994508,0,0.666666667,1
1,What does actual inbound carrier visit signify ?,"Actual inbound carrier visit signifies the arrival of a carrier (vessel, train, or truck) that physically brings a unit to a facility. This information may differ from the declared inbound carrier visit, which is typically based on the first visited facility within a complex and can be subject to change as the unit travels to subsequent facilities. The actual inbound carrier visit provides a more accurate representation of when a unit was received at a specific facility.","['activity ID\nA crane/vessel crane activity metric. At crane activity level, the ID of the activity, such as ""A1"" or ""B2.""\nThis term applies to Monitor and Analytics only.\nactivity metrics\nMetrics that keep track of crane activities, such as meal breaks, hatch lid lifts, or egear moves. Crane activities fall into\nthe following categories: terminal accountable, non-terminal accountable, and force majeure delays.\nThis term applies to Monitor and Analytics only.\nactual inbound carrier visit\nThe carrier (vessel, train, or truck) that physically brings the unit to the facility. This may differ from the declared\ninbound carrier visit  ( 29) at the first facility that is visited in a complex. If a unit travels to more than one facility in a\ncomplex, the actual inbound carrier visit always differs from the declared inbound carrier visit at the subsequent\nfacilities that it visits.\nactual outbound carrier visit']",The carrier (vessel or train or truck) that physically brings the unit to the facility.,0.847646616,1,1,1
2,What is an allocation filter?,"An allocation filter is a criterion used in combination with routing criteria to create an allocation group within the Yard Allocations window in XPS. It helps narrow down the selection of stacks or wheeled positions that can be allocated to specific groups, based on certain conditions or parameters. Allocation filters allow for more targeted and precise allocations by allowing users to specify specific constraints such as container types, sizes, or locations within the yard.","['allocation filter\nA filter that is used with a group criterion to create an allocation group  ( 7) in the Yard Allocations  window in XPS.\nallocation group\nA two-level combination of group and filter that includes routing criteria with an allocation filter  ( 7). You create\nallocation groups in the Yard Allocations  window in XPS.\nSee also import group  ( 62), group code  ( 57), or group (re: user)  ( 57).\nallocation group template\nA file specifying a set of allocation groups  ( 7) used to generate the same, or similar, set of groups.\nallocation range\nIn XPS, a range of stacks or wheeled positions in a yard that is associated with an allocation group  ( 7).\nallowable container types\nThe length and type (reefer, etc.) of containers allowed in a slot ( 111), and displayed in information dialogs  ( 63) in\nthe XPS client. For instance, with railcars, these are loading restrictions you specify in the railcar type  ( 100) view.\nAmidships']",A filter that is used with a group criterion to create an allocation group in the Yard Allocations window in XPS.,0.881369018,0,0.833333333,1
3,What is the full form of ASC ?,"ASC stands for Automated Stacking Crane Control System. It is a software system that controls the movement of automated stacking crane hardware equipment, and it interfaces with the TOS (Terminal Operating System, referenced as 125 in the context). Examples of ASC-CS include Cargotec's TLS, TBA's TEAMS, and ABB's controls system products.","[""ASC Scheduler\nA component of the AYC Manager  ( 8) that optimally schedules ASC movements.\nASC-CS\nAutomated Stacking Crane Control System. Software that controls the movement of automated stacking crane\nhardware equipment. One of the primary responsibilities of the ASC-CS is to interface with the TOS ( 125). Examples\nof ASC-CS include Cargotec's TLS, TBA's TEAMS, and ABB's controls system products.\nATA\nA crane/vessel productivity metric. At vessel level, the actual time of arrival for the vessel provided by XPS, typically set\nin the host system.\nThis term applies to Monitor and Analytics only.\nATD\nA crane/vessel productivity metric. At vessel level, the actual time of departure for the vessel provided by XPS, typically\nset in the host system.\nThis term applies to Monitor and Analytics only.\nAthwartships\nAcross the ship, at right angles to the fore-and-aft centerline.\nattribute label\nA label for a container attribute that you can add to live container lists and recaps in XPS.""]",Automated Stacking Crane,0.786259686,1,1,1
4,What is BAPLIE ?,"BAPLIE stands for Bay Planning EDI Message Type. It is a message type used in the maritime industry to transmit information about equipment and goods on a vessel, including their on-board location. BAPLIE messages are exchanged between business organizations such as line operators, agents, stevedores, and terminal operators. They serve as a means for efficient communication and coordination related to vessel operations and cargo management. For N4 customers, the N4 system uses BAPLIE messages to send and receive vessel stowplans by EDI.","['$800 for vessels from 101 to 300 GRT, and $1200 for vessels above 300 GRT. Therefore, berthing a 120 GRT vessel\nwill cost $800 as 120 falls in the 101 to 300 GRT band.\nSee also tiered rate  ( 123).\nBAPLIE\nA bay-planning EDI ( 37) message type per the UN/ EDIFACT  ( 39) standard. BAPLIE messages transmit information\nabout equipment and goods on a vessel, including their on-board location. A BAPLIE message can be exchanged\nbetween business organizations, such as line operators, agents, stevedores, and terminal operators.\nFor N4 customers only:  The N4 system uses BAPLIE messages to send and receive vessel stowplans by EDI.\nFor more information, go to http://www.unece.org/trade/untdid/d01a/trmd/baplie_c.htm .Glossary\nPublished: Sunday, April 28, 2024\nConfidential -- ProprietaryNavis N4 4.0.15: Glossary 10']",A bay-planning EDI message type per the UN/EDIFACT standard.BAPLIE messages transmit information about equipment and goods on a vessel including their on-board location.,0.859883695,1,0.6,1
5,What is the term used to signify a data format used for high performance transactions?,"The term used to signify a data format used for high performance transactions is ""Bento"". It is a proprietary data format developed by Navis.","[""See also MBean  ( 73).\nbelow deck\nThe portion of the storage space, or bay ( 11), below the vessel's deck.\nBento\nA Navis proprietary data format used for high performance transactions which follows a client-server protocol.\nBento server\nA light-weight server used for communication between N4 and ECN4.\nberth\nThe waterfront area of a terminal that is reserved for docking vessels. Sometimes, the term refers to the dock or wharf\nstructure of a terminal.\nberth hours\nA crane/vessel productivity metric. At vessel level, the time since the vessel arrived, expressed in hours, if the vessel\nhas not departed yet. This value is calculated by the current time minus ETA ( 45). If the vessel has already departed,\nthe duration that the vessel was berthed, calculated by ETD ( 45) minus ETA.\nThis term applies to Monitor and Analytics only.\nberth note\nIn XPS Advanced Berth Scheduler (ABS) , a short text string for explaining a change or other scheduling event.\nberth productivity""]",Bento,0.897888042,0,1,1
6,What is the method used for decking containers using business rules?,"Expert Decking uses a configurable set of business rules to deck containers in Navis N4. These rules are defined in the XPS settings file and determine how containers are allocated space in the yard. The application also incorporates penalties based on your defined criteria within the interface, ensuring an optimized container allocation process.","['See also, free day  ( 52) and last free day  ( 69).\nExpert Decking\nAn N4 licensable option and module for allocating space and assigning container positions in the yard without\nreserving specific ranges. Expert Decking automatically decks containers according to a configurable set of business\nrules. Expert Decking finds the best position for a container by using stacking criteria that you define in the XPS\nsettings file and penalties  ( 47) that you define within the application interface.Glossary\nPublished: Sunday, April 28, 2024\nConfidential -- ProprietaryNavis N4 4.0.15: Glossary 46']", Expert Decking,0.782586206,0,1,1
7,What are the different move kinds?,"The different move kinds in the context of ""moves completed"" include:

1. On-container moves: Moves where a container is being loaded or unloaded from one location within the container to another.
2. Off-container moves: Moves where a container is transferred between two containers, meaning it's moved from one container to another without loading/unloading.
3. Onboard moves: Moves involving containers that are already on board the vessel, such as moving a container from one part of the deck to another or within the same deck.
4. Discharge moves: Moves where a container is being discharged (emptied) at a specific location on the vessel.
5. Load-to-load moves: Moves where a container is loaded onto a different crane/vessel from where it was previously loaded, and then unloaded onto another crane/vessel.
6. Load-from-stockpile moves: Moves where a container is loaded from a stockpile location on the vessel to be transported elsewhere or discharged at a specific location.","['types of moves in without any issue.\nmoves completed\nA crane/vessel productivity metric. At crane level, the count of all container moves made by the crane for a vessel that\nwere onto, off, or on the vessel. These moves include vessel load, discharge, and shift on board. At vessel level, the\nsum of moves completed for all the cranes that worked on the vessel.\nThis term applies to Monitor and Analytics only.\nmoves last hour\nA crane/vessel productivity metric. At crane level, the number of moves completed  ( 77) by the crane for a vessel in the\nlast 60 minutes. At the vessel level, the sum of moves last hour for all the cranes that worked on the vessel.\nThis term applies to Monitor and Analytics only.\nmoves to go\nA crane/vessel forward-looking metric. At vessel level, the sum of all moves to go of all the cranes that are working or\nplanned to work on the vessel. Moves_to_go does not include projections.\nThis term applies to Monitor and Analytics only.\nmove-split']",RECV: road receivalDLVR: road delivery;SHFT: yard shift;YARD: house keeping;DSCH: vessel discharge;LOAD: vessel load;RDSC: rail discharge;RLOD: rail load;RTOR: rail-to-rail,0.843388538,0,0.714285714,0.666666667
8,What is the purpose of QC?,"The purpose of QC (Quay Crane) is to assist in the loading and unloading processes of ships at a dock. It controls the movement of specialized equipment, like cranes, to efficiently manage the operations and ensure smooth operations on the quay. The term ""QC"" also refers to the Quay Crane Control System, which is software that manages this equipment. In short, QC's main function is to facilitate the movement of goods between ships and docks using specialized cranes and equipment.","[""QC Lane Offset\nIndicates the position of a QC on the Quay. It helps N4 identify the location of the active QC. The QC Lane Offset can\nalso be used to determine:\n•The QC Spreader Position.\n•The HIGH BOLLARD and the LOW BOLLARD positions in the QC Lane.\nThis helps N4 resolve the POW for an unordered Autoshuttle move, which usually does not have a work instruction tied\nto a POW, to the Backreach.\nQC-CS\nQuay Crane Control System. Software that controls the movement of QC ( 96) hardware equipment. A type of\nEquipment Control System ( ECS ( 36)). Some QC-CSs now include the responsibility of interfacing with the TOS\n( 125).\nquad-lift\nLoading or discharging four 20' containers in one crane cycle.\nquay\nThe location on the dock along the water’s edge where ships are loaded and unloaded (pronounced key).\nquay crane\nA crane located on the dock that is used to load and unload a berthed  ( 12) vessel.\nquick allocation""]",QC is used for loading and unloading intermodal containers from container ships,0.849699776,0,0.75,1
9,What does Rail discharge mean ?," Rail Discharge refers to a move kind (76) in the context of train plans (126), involving planning a Warehouse Inventory (WI, 138) that is planned from a rail car to the yard. It is a move category (75) for the ASC Scheduler (9). In other words, it describes the process of transferring goods from one location (rail car) to another (yard).""","['For inbound trains, the railroad sends this to the terminal. For outbound trains, the terminal sends this to the railroad.\nSee also train plan  ( 126).\nRail Discharge\nA move kind  ( 76) describing a WI ( 138) that is planned from a rail car to the yard. This is a move category  ( 75) for the\nASC Scheduler  ( 9).\nRail Load\nA move kind  ( 76) describing a WI ( 138) that is planned from the yard to a railcar. This is a move category  ( 75) for the\nASC Scheduler  ( 9).\nrail order\nAn appointment made with a rail operator to reserve space on a train for the transport of containers to and from a\nfacility.Glossary\nPublished: Sunday, April 28, 2024\nConfidential -- ProprietaryNavis N4 4.0.15: Glossary 98']",A move kind describing a WI that is planned from a rail car to the yard,0.825122215,1,0.75,1
